Total free models: 26
  nvidia/nemotron-3-super-120b-a12b:free | context: 262144
  minimax/minimax-m2.5:free | context: 196608
  stepfun/step-3.5-flash:free | context: 256000
  arcee-ai/trinity-large-preview:free | context: 131000
  liquid/lfm-2.5-1.2b-thinking:free | context: 32768
  liquid/lfm-2.5-1.2b-instruct:free | context: 32768
  nvidia/nemotron-3-nano-30b-a3b:free | context: 256000
  arcee-ai/trinity-mini:free | context: 131072
  nvidia/nemotron-nano-12b-v2-vl:free | context: 128000
  qwen/qwen3-next-80b-a3b-instruct:free | context: 262144
  nvidia/nemotron-nano-9b-v2:free | context: 128000
  openai/gpt-oss-120b:free | context: 131072
  openai/gpt-oss-20b:free | context: 131072
  z-ai/glm-4.5-air:free | context: 131072
  qwen/qwen3-coder:free | context: 262000
  cognitivecomputations/dolphin-mistral-24b-venice-edition:free | context: 32768
  google/gemma-3n-e2b-it:free | context: 8192
  google/gemma-3n-e4b-it:free | context: 8192
  qwen/qwen3-4b:free | context: 40960
  mistralai/mistral-small-3.1-24b-instruct:free | context: 128000
  google/gemma-3-4b-it:free | context: 32768
  google/gemma-3-12b-it:free | context: 32768
  google/gemma-3-27b-it:free | context: 131072
  meta-llama/llama-3.3-70b-instruct:free | context: 65536
  meta-llama/llama-3.2-3b-instruct:free | context: 131072
  nousresearch/hermes-3-llama-3.1-405b:free | context: 131072
